,transaction_date,Category,Amount Paid,Payment Mode,Description,Cashback
0,2023-01-09,School fees,5000,Cash,halfyearly exam fees paid,0.0
1,2023-01-17,YouTube,300,Online,Student building whether.,32.36
2,2023-01-12,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
3,2023-01-09,Food,200,Credit card,Full design hundred person community maintain.,0.0
4,2023-01-15,Food,200,Cash,Fish issue week leg easy.,0.0
5,2023-01-13,House Rent,6000,Online,Monthly payment is paid,778.76
6,2023-01-14,Food,200,Credit card,Doctor cut hundred follow not.,0.0
7,2023-01-02,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
8,2023-01-28,Audible,299,Debit card,North page minute star kind sing.,0.0
9,2023-01-27,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
10,2023-01-10,Travel,400,Online,Outside there there gun cost state.,45.8
11,2023-01-06,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
12,2023-01-13,Food,200,Cash,Trip citizen food.,0.0
13,2023-01-22,School fees,5000,Debit card,halfyearly exam fees paid,0.0
14,2023-01-28,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
15,2023-01-22,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
16,2023-01-09,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
17,2023-01-01,Entertainment,250,Cash,Change find partner yard.,0.0
18,2023-01-02,Investment,3000,Cash,Audience yes top sometimes stock.,0.0
19,2023-01-05,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
20,2023-01-20,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
21,2023-01-16,YouTube,300,Cash,Most feel serve listen.,0.0
22,2023-01-10,YouTube,300,Online,Professor painting thus.,0.0
23,2023-01-24,House Rent,6000,Cash,Monthly payment is paid,0.0
24,2023-01-28,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
25,2023-01-01,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
26,2023-01-29,YouTube,300,Debit card,Wonder about order picture hold.,0.0
27,2023-01-20,House Rent,6000,Online,Monthly payment is paid,658.77
28,2023-01-05,Audible,299,Credit card,Bag what suddenly.,0.0
29,2023-01-22,Food,200,Online,Too education soldier.,0.0
30,2023-01-10,Entertainment,250,Online,Bad foreign rather kind pretty hold.,45.46
31,2023-01-09,Transportation,1500,Credit card,Administration concern class affect whom.,0.0
32,2023-01-22,Food,200,Credit card,Policy word television.,0.0
33,2023-01-20,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
34,2023-01-03,Travel,400,Debit card,Sell do bag carry interest.,0.0
